Research_ID,Combined_Group,Source_Group_ID,Canonical_English_Text,True_Label,Predicted_Label,Fold,prob_Administrative___Procedural___Integrity,prob_Lease_Revenue___Payment___Enforcement,prob_Protected___Environmental_Lease_Misuse,prob_Unauthorized_Allocation___Transfer___Use
STATE-LEASE-003,CG-STATE-LEASE-003,https://www.parliament.lk/en/home/parliament-news/view/5287,Allegation that National Housing Development Authority land was leased at a very low rent without Cabinet approval.,Lease Revenue / Payment / Enforcement,Unauthorized Allocation / Transfer / Use,4,0.2202,0.2033,0.2144,0.3621
STATE-LEASE-004,CG-STATE-LEASE-004,UNIQUE-STATE-LEASE-004,Allegation that protected land was supported by forged deeds and leased to private companies for filling or reclamation.,Administrative / Procedural / Integrity,Protected / Environmental Lease Misuse,1,0.1783,0.1783,0.3544,0.2889
STATE-LEASE-006,CG-STATE-LEASE-006,UNIQUE-STATE-LEASE-006,Allegation that state land around the Sri Dalada Maligawa historic precinct was allocated for commercial activities without required approval.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,1,0.2582,0.1581,0.2827,0.301
STATE-LEASE-007,CG-STATE-LEASE-007,UNIQUE-STATE-LEASE-007,Allegation that a public official accepted a bribe in connection with leasing government land for gem-mining activities.,Administrative / Procedural / Integrity,Protected / Environmental Lease Misuse,3,0.2401,0.1766,0.3076,0.2757
STATE-LEASE-009,CG-STATE-LEASE-009,UNIQUE-STATE-LEASE-009,Allegation that Land Reform Commission land was illegally subdivided and leased.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,5,0.2153,0.1917,0.3394,0.2535
STATE-LEASE-012,CG-STATE-LEASE-012,UNIQUE-STATE-LEASE-012,Allegation that Mahaweli land was transferred to businesses using fraudulent lease permits.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,3,0.228,0.1796,0.2885,0.3038
STATE-LEASE-013,CG-STATE-LEASE-013,UNIQUE-STATE-LEASE-013,Allegation that forest-reserve land was made available for hotels using fraudulent lease agreements.,Protected / Environmental Lease Misuse,Administrative / Procedural / Integrity,1,0.3159,0.237,0.22,0.227
STATE-LEASE-017,CG-STATE-LEASE-017,UNIQUE-STATE-LEASE-017,Allegation that state revenue was substantially understated or reduced in the leasing of islands for tourism projects.,Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,0.265,0.1771,0.2871,0.2708
STATE-LEASE-020,CG-STATE-LEASE-020,UNIQUE-STATE-LEASE-020,Allegation that state land near the Kelani River was illegally leased for soil and clay excavation.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,4,0.2051,0.1649,0.3064,0.3236
STATE-LEASE-023,CG-STATE-LEASE-023,UNIQUE-STATE-LEASE-023,Allegation that archaeological-reserve land was occupied on the stated basis of agricultural use.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,1,0.2069,0.221,0.2582,0.3139
STATE-LEASE-026,CG-STATE-LEASE-026,UNIQUE-STATE-LEASE-026,"Allegation that state land within a sacred-area boundary was leased, under political influence, for unauthorized commercial stalls.",Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,5,0.1869,0.1655,0.3648,0.2828
STATE-LEASE-029,CG-STATE-LEASE-029,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2017/State_Corp/Land-Reform-Commission---E.pdf,"Audit reported that land enjoyment was transferred in 2003 outside the normal leasing procedure, later passed to another company without Commission approval; arrears, a released surcharge, and a questionable reduction in assessed lease value were also recorded.",Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,2,0.2594,0.3069,0.1472,0.2865
STATE-LEASE-030,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2019/state_corporation/2-xxi/Land-Reform-Commission---2019---E.pdf,"Audit found that lease agreements had not been signed for land leased to four institutions, lease receivables from 2008 had not been collected, and the receivable could not be computed without agreements.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,0.3015,0.2062,0.2319,0.2605
STATE-LEASE-031,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Land-Reform-Commission--E.pdf,"Audit reported that multiple land plots had been used by a company without any amount recovered from Rs. 32,475,109 in lease rent due as at 31 December 2022, and no lease agreement had been entered into.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,0.3143,0.3093,0.1675,0.209
STATE-LEASE-032,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Land-Reform-Commission--E.pdf,"Audit reported that 10 acres approved for tea cultivation had no lease rent paid since 2011, no formal agreement, and Rs. 1,824,000 outstanding as at the end of 2022.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,0.312,0.3088,0.1572,0.222
STATE-LEASE-035,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,"Audit reported that a 30-year residential lease granted in June 2012 had received no lease payments after 11 years, with Rs. 216,960 due.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,0.2999,0.2557,0.1673,0.2771
STATE-LEASE-036,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,"Audit reported that a commercial lease running from 2004 had accumulated Rs. 1,069,140 in unpaid lease amounts through 31 December 2023.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,0.3191,0.2833,0.1723,0.2253
STATE-LEASE-042,CG-STATE-LEASE-042,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-xix/Sri-Lanka-Tourism-Development-Authority--E.pdf,"The Auditor General reported that SLTDA had received 2,056.73 acres across 12 Kalpitiya islands as free grants for tourism, of which 668.69 acres in 10 islands had been leased to seven companies during 2010, 2011, 2020 and 2022; none of those companies had commenced operations by the end of the audit period.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,1,0.2368,0.3577,0.1856,0.2199
STATE-LEASE-043,CG-STATE-LEASE-042,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-xix/Sri-Lanka-Tourism-Development-Authority--E.pdf,"The Auditor General reported that 510.086 acres at Kuchchaveli had been taken over for tourism development. By 2020–2021, three companies had received leases totaling 49 acres, but only one of those three was operating by the end of the audit period; additional lease agreements and approvals were also in progress.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,1,0.2926,0.3264,0.1852,0.1959
STATE-LEASE-044,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,"Glen Alpin Estate / Sri Kali Amman Kovil, Hali-Ela was identified in official audit/report material as a government/state land lease case involving lease rent non-payment / enforcement failure. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,0.2835,0.257,0.2381,0.2213
STATE-LEASE-046,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,"Kirimuttiwatta, Batticaloa was identified in official audit/report material as a government/state land lease case involving lease non-performance / arrears / surrender issue. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,0.269,0.1935,0.2836,0.2539
STATE-LEASE-047,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,"Akurambodawatta, Pallepola was identified in official audit/report material as a government/state land lease case involving lease arrears / revocation or disposal decision. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,0.275,0.2004,0.2768,0.2478
STATE-LEASE-048,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2021/state_corporation/2-XXXIII/Land-Reform-Commission--E.pdf,"Kalawilawatta, Kalutara was identified in official audit/report material as a government/state land lease case involving long-term lease arrears / weak enforcement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,0.2407,0.2523,0.2576,0.2494
STATE-LEASE-051,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Land-Reform-Commission--E.pdf,"Uranikadu, Pottuvil, Ampara was identified in official audit/report material as a government/state land lease case involving tourism lease administration / revenue recognition. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Protected / Environmental Lease Misuse,3,0.2798,0.1858,0.2889,0.2455
STATE-LEASE-053,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2024/2-State_Corporations/2-XIII/Land--Reform--Commission--E.pdf,"Jakotuwa Watta, Wellampitiya / Kolonnawa was identified in official audit/report material as a government/state land lease case involving lease valuation / recovery / litigation. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,0.2593,0.2193,0.2768,0.2446
STATE-LEASE-055,CG-STATE-LEASE-030,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,"Maddey Gedharawatta, Kalutara — 50 acres was identified in official audit/report material as a government/state land lease case involving lease without cabinet approval / valuation-recovery issue. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,0.2684,0.253,0.2448,0.2337
STATE-LEASE-059,CG-STATE-LEASE-030,https://www.sundaytimes.lk/191117/business-times/government-incurs-heavy-losses-in-state-land-lease-deals-377989.html,"Puttalam prawn-cultivation lands — 173 acres was identified in official audit/report material as a government/state land lease case involving lease granted without proper permission. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,3,0.265,0.1718,0.2542,0.3089
STATE-LEASE-061,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,"Hasalaka parcel No. 549, Minipe was identified in official audit/report material as a government/state land lease case involving lease arrears / missing or incomplete leasehold action. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,0.2724,0.2047,0.2826,0.2404
STATE-LEASE-062,CG-STATE-LEASE-030,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/min_dep/1-xi/Head286Land-Commissioner-Generals-DepartmentE.pdf,"Udatthawa village parcel No. 814, Minipe was identified in official audit/report material as a government/state land lease case involving sublease / arrears / enforcement. The Land Commissioner has confirmed that this is a genuine, direct, distinct state-land lease incident. File-level details should be retained from the Commissioner's records when available.",Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,3,0.2629,0.2042,0.2757,0.2572
WEB-063,CG-WEB-063,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2024/Annual_Report/Annual-Report-2024-English-Web_compressed.pdf,"The Auditor General reported that the Transworks Square land in Colombo Fort was leased to a locally incorporated foreign private company through four agreements between 2013 and 2016 for Rs. 4,999.7 million for a mixed-development project. The project was expected to be completed by 2021, but by the end of 2024 only the structural framework for 60 of the planned 81 floors had been completed. An expected Rs. 1,290.04 million difference between the lease value and market value had not been recovered because the development project remained suspended.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,2,0.2964,0.3233,0.188,0.1922
WEB-066,CG-WEB-065,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/State-Corporations/2-XXXIV/Board-of-Investment-of-Sri-Lanka--E.pdf,"The Auditor General reported that the Board of Investment leased 16 acres in the Katunayake Export Processing Zone to the Free Trade Zone Sports Association under an agreement dated 27 September 1988. The rent remained Rs. 200 per acre per year until September 2018, and the Board proposed an increase to Rs. 1,000 per acre for 30 years without obtaining an independent valuer's report. The Board had also spent Rs. 2.5 million to rehabilitate the ground while earning only Rs. 16,000 per year from the land.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,0.3657,0.2962,0.1558,0.1823
WEB-068,CG-WEB-068,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/statecorperation/2-xxvi/Chamber-of-Construction-Industry-of-Sri-Lanka--E.pdf,"The Auditor General reported that the Chamber of Construction Industry obtained 30 perches of land from the Urban Development Authority under a 30-year lease agreement signed on 29 December 2021 at an annual rent of Rs. 1.68 million. The lease required a new secretariat building to be constructed within two years, but construction had not commenced by 31 May 2023.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,1,0.286,0.3611,0.1318,0.2211
WEB-069,CG-WEB-069,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2022/companies/9-XXXVII/Waters-Edge-Limited-and-its-subsidiaries--E.pdf,"The Auditor General reported that Waters Edge earned Rs. 10,719,033 in annual rent from LALA Park, but a lease agreement for the underlying land had not been signed with the lessor. Management stated that the arrangement was being negotiated with the parent company, the Urban Development Authority, to execute the land lease.",Administrative / Procedural / Integrity,Lease Revenue / Payment / Enforcement,1,0.275,0.3458,0.1245,0.2547
WEB-071,CG-WEB-070,https://auditorgeneral.gov.lk/web/images/audit-reports/upload/2023/Provincial_Council/5-vi/North-Western-Provincial-CouncilE.pdf,The Auditor General reported that about 29 acres and 10 perches of government land in the Manativ Grama Niladhari Division of the Puttalam Divisional Secretariat had been leased to a private company for 30 years from 29 June 1988. The company later sold the leased land to another private company on 11 June 2008 without approval from the Provincial Land Commissioner.,Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,4,0.2578,0.3055,0.1485,0.2882
