Research_ID,Canonical_English_Text,True_Label,Predicted_Label,Fold,Combined_Group,Gold_Label_Status,Narrative_Type,Candidate_Error_Type,Text_Evidence,Analysis_Note,Needs_Domain_Review,Reviewer_Decision,Reviewer_Notes,_Evidence_Status
STATE-LEASE-003,Allegation that National Housing Development Authority land was leased at a very low rent without Cabinet approval.,Lease Revenue / Payment / Enforcement,Unauthorized Allocation / Transfer / Use,4,CG-STATE-LEASE-003,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,leased at a very low rent without Cabinet approval,"Case combines financial concession ('very low rent', Revenue) with procedural violation ('without Cabinet approval', Admin/Unauthorized).",Yes,,,verified
STATE-LEASE-004,Allegation that protected land was supported by forged deeds and leased to private companies for filling or reclamation.,Administrative / Procedural / Integrity,Protected / Environmental Lease Misuse,1,CG-STATE-LEASE-004,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,supported by forged deeds and leased to private companies for filling or reclamation,Record involves document forgery (Integrity/Admin) affecting protected land subject to filling/reclamation (Environmental).,Yes,,,verified
STATE-LEASE-006,Allegation that state land around the Sri Dalada Maligawa historic precinct was allocated for commercial activities without required approval.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,1,CG-STATE-LEASE-006,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,allocated for commercial activities without required approval,Procedural bypass of required approvals overlaps with unauthorized commercial allocation of historic precinct land.,Yes,,,verified
STATE-LEASE-007,Allegation that a public official accepted a bribe in connection with leasing government land for gem-mining activities.,Administrative / Procedural / Integrity,Protected / Environmental Lease Misuse,3,CG-STATE-LEASE-007,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,public official accepted a bribe in connection with leasing government land for gem-mining activities,Official bribery (Integrity/Admin) specifically facilitated gem-mining land use (Environmental/Resource extraction).,Yes,,,verified
STATE-LEASE-009,Allegation that Land Reform Commission land was illegally subdivided and leased.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,5,CG-STATE-LEASE-009,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Clear category evidence but incorrect prediction,illegally subdivided and leased,"Text explicitly describes illegal subdivision and leasing (Unauthorized Allocation), but model assigned highest probability to Environmental.",No,,,verified
STATE-LEASE-012,Allegation that Mahaweli land was transferred to businesses using fraudulent lease permits.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,3,CG-STATE-LEASE-012,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,transferred to businesses using fraudulent lease permits,Fraudulent permits (Integrity/Admin) directly executed an unauthorized transfer of state land to private businesses.,Yes,,,verified
STATE-LEASE-013,Allegation that forest-reserve land was made available for hotels using fraudulent lease agreements.,Protected / Environmental Lease Misuse,Administrative / Procedural / Integrity,1,CG-STATE-LEASE-013,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,forest-reserve land was made available for hotels using fraudulent lease agreements,Involves commercial hotel allocation in a forest reserve (Environmental) achieved through fraudulent agreements (Integrity/Admin).,Yes,,,verified
STATE-LEASE-017,Allegation that state revenue was substantially understated or reduced in the leasing of islands for tourism projects.,Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,3,CG-STATE-LEASE-017,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,state revenue was substantially understated or reduced in the leasing of islands for tourism projects,Revenue undervaluation (Revenue) occurred in the context of island leasing for tourism (often linked to Environmental/Coastal).,Yes,,,verified
STATE-LEASE-020,Allegation that state land near the Kelani River was illegally leased for soil and clay excavation.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,4,CG-STATE-LEASE-020,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,illegally leased for soil and clay excavation,Physical soil and clay excavation (Environmental) combines with an illegal leasing transaction (Unauthorized Allocation).,Yes,,,verified
STATE-LEASE-023,Allegation that archaeological-reserve land was occupied on the stated basis of agricultural use.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,1,CG-STATE-LEASE-023,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,archaeological-reserve land was occupied on the stated basis of agricultural use,Occupation of archaeological reserve (Environmental/Protected) overlaps with unauthorized change of use / occupation.,Yes,,,verified
STATE-LEASE-026,"Allegation that state land within a sacred-area boundary was leased, under political influence, for unauthorized commercial stalls.",Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,5,CG-STATE-LEASE-026,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"within a sacred-area boundary was leased, under political influence, for unauthorized commercial stalls","Involves sacred-area land (Protected/Environmental), political influence (Integrity), and unauthorized commercial stall leasing.",Yes,,,verified
STATE-LEASE-029,"Audit reported that land enjoyment was transferred in 2003 outside the normal leasing procedure, later passed to another company without Commission approval; arrears, a released surcharge, and a questionable reduction in assessed lease value were also recorded.",Unauthorized Allocation / Transfer / Use,Lease Revenue / Payment / Enforcement,2,CG-STATE-LEASE-029,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"transferred in 2003 outside the normal leasing procedure, later passed to another company without Commission approval; arrears, a released surcharge","Complex multi-issue audit narrative containing unauthorized transfer, procedural breach, and substantial uncollected arrears.",Yes,,,verified
STATE-LEASE-030,"Audit found that lease agreements had not been signed for land leased to four institutions, lease receivables from 2008 had not been collected, and the receivable could not be computed without agreements.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"lease agreements had not been signed for land leased to four institutions, lease receivables from 2008 had not been collected",Dual presence of procedural failure (unsigned agreements) and uncollected lease receivables.,Yes,,,verified
STATE-LEASE-031,"Audit reported that multiple land plots had been used by a company without any amount recovered from Rs. 32,475,109 in lease rent due as at 31 December 2022, and no lease agreement had been entered into.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"without any amount recovered from Rs. 32,475,109 in lease rent due as at 31 December 2022, and no lease agreement had been entered into",Massive unrecovered rent arrears (Revenue) compounded by complete absence of formal lease execution (Admin).,Yes,,,verified
STATE-LEASE-032,"Audit reported that 10 acres approved for tea cultivation had no lease rent paid since 2011, no formal agreement, and Rs. 1,824,000 outstanding as at the end of 2022.",Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,3,CG-STATE-LEASE-030,Proposed research label - final human/domain review required,Direct governance complaint / allegation narrative (source-derived),Multiple issues present / primary-label ambiguity,"no lease rent paid since 2011, no formal agreement, and Rs. 1,824,000 outstanding",Outstanding rent default (Revenue) linked with lack of formal lease agreement execution (Admin).,Yes,,,verified
