Research_ID,True_Label,Was_Changed_By_Cleaning,Phrases_Found_Count,Original_Text,Cleaned_Text,Arm_A_Predicted,Arm_B_Predicted,Arm_A_Correct,Arm_B_Correct,Cleaning_Helped,Cleaning_Hurt
STATE-LEASE-001,Unauthorized Allocation / Transfer / Use,False,0,Allegation that state land obtained on a 99-year lease for cultivation was subdivided and sold to a private property company.,Allegation that state land obtained on a 99-year lease for cultivation was subdivided and sold to a private property company.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,True,True,False,False
STATE-LEASE-002,Administrative / Procedural / Integrity,False,0,Allegation that government suffered a loss of approximately LKR 29 million when the land was leased in breach of procurement requirements.,Allegation that government suffered a loss of approximately LKR 29 million when the land was leased in breach of procurement requirements.,Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,True,True,False,False
STATE-LEASE-003,Lease Revenue / Payment / Enforcement,False,0,Allegation that National Housing Development Authority land was leased at a very low rent without Cabinet approval.,Allegation that National Housing Development Authority land was leased at a very low rent without Cabinet approval.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,False,False,False,False
STATE-LEASE-004,Administrative / Procedural / Integrity,False,0,Allegation that protected land was supported by forged deeds and leased to private companies for filling or reclamation.,Allegation that protected land was supported by forged deeds and leased to private companies for filling or reclamation.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,False,False,False,False
STATE-LEASE-005,Unauthorized Allocation / Transfer / Use,False,0,Allegation that commercial stalls built on state land were leased at low rates mainly to politically connected parties.,Allegation that commercial stalls built on state land were leased at low rates mainly to politically connected parties.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,True,True,False,False
STATE-LEASE-006,Administrative / Procedural / Integrity,False,0,Allegation that state land around the Sri Dalada Maligawa historic precinct was allocated for commercial activities without required approval.,Allegation that state land around the Sri Dalada Maligawa historic precinct was allocated for commercial activities without required approval.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,False,False,False,False
STATE-LEASE-007,Administrative / Procedural / Integrity,False,0,Allegation that a public official accepted a bribe in connection with leasing government land for gem-mining activities.,Allegation that a public official accepted a bribe in connection with leasing government land for gem-mining activities.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,False,False,False,False
STATE-LEASE-008,Lease Revenue / Payment / Enforcement,False,0,Allegation that officials concealed the failure of companies leasing government land to pay lease rentals for several years.,Allegation that officials concealed the failure of companies leasing government land to pay lease rentals for several years.,Lease Revenue / Payment / Enforcement,Lease Revenue / Payment / Enforcement,True,True,False,False
STATE-LEASE-009,Unauthorized Allocation / Transfer / Use,False,0,Allegation that Land Reform Commission land was illegally subdivided and leased.,Allegation that Land Reform Commission land was illegally subdivided and leased.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,False,False,False,False
STATE-LEASE-010,Unauthorized Allocation / Transfer / Use,False,0,Allegation that government land reserved for cultivation was secretly leased for commercial buildings.,Allegation that government land reserved for cultivation was secretly leased for commercial buildings.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,True,True,False,False
STATE-LEASE-011,Unauthorized Allocation / Transfer / Use,False,0,Allegation that parcels of government land were sold to private entrepreneurs under fraudulent lease-right claims.,Allegation that parcels of government land were sold to private entrepreneurs under fraudulent lease-right claims.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,True,True,False,False
STATE-LEASE-012,Administrative / Procedural / Integrity,False,0,Allegation that Mahaweli land was transferred to businesses using fraudulent lease permits.,Allegation that Mahaweli land was transferred to businesses using fraudulent lease permits.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,False,False,False,False
STATE-LEASE-013,Protected / Environmental Lease Misuse,False,0,Allegation that forest-reserve land was made available for hotels using fraudulent lease agreements.,Allegation that forest-reserve land was made available for hotels using fraudulent lease agreements.,Administrative / Procedural / Integrity,Administrative / Procedural / Integrity,False,False,False,False
STATE-LEASE-014,Protected / Environmental Lease Misuse,False,0,Allegation that state land in a coastal area was illegally granted to foreign parties on long-term leases.,Allegation that state land in a coastal area was illegally granted to foreign parties on long-term leases.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,True,True,False,False
STATE-LEASE-015,Protected / Environmental Lease Misuse,False,0,Allegation that land associated with a wildlife zone was secretly leased for tourist-resort development.,Allegation that land associated with a wildlife zone was secretly leased for tourist-resort development.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,True,True,False,False
STATE-LEASE-016,Protected / Environmental Lease Misuse,False,0,Allegation that state riverbank land was illegally leased for tourism or recreational activities.,Allegation that state riverbank land was illegally leased for tourism or recreational activities.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,True,True,False,False
STATE-LEASE-017,Lease Revenue / Payment / Enforcement,False,0,Allegation that state revenue was substantially understated or reduced in the leasing of islands for tourism projects.,Allegation that state revenue was substantially understated or reduced in the leasing of islands for tourism projects.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,False,False,False,False
STATE-LEASE-018,Protected / Environmental Lease Misuse,False,0,Allegation that land in a protected area around the natural harbour was leased for private warehouse use.,Allegation that land in a protected area around the natural harbour was leased for private warehouse use.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,True,True,False,False
STATE-LEASE-019,Protected / Environmental Lease Misuse,False,0,Allegation that wetlands used by migratory birds were leased for shrimp-farming operations.,Allegation that wetlands used by migratory birds were leased for shrimp-farming operations.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,True,True,False,False
STATE-LEASE-020,Protected / Environmental Lease Misuse,False,0,Allegation that state land near the Kelani River was illegally leased for soil and clay excavation.,Allegation that state land near the Kelani River was illegally leased for soil and clay excavation.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,False,False,False,False
STATE-LEASE-021,Protected / Environmental Lease Misuse,False,0,Allegation of illegal soil excavation on government leasehold land allocated to an industrial facility.,Allegation of illegal soil excavation on government leasehold land allocated to an industrial facility.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,True,True,False,False
